calendar_quarter,model_id,task_id,proposals,independent_dates,active_rate,review_recommended_rate,raw_schema_validity,mean_confidence,mean_uncertainty,mean_absolute_expected_edge_bps,explicit_retrospective_signal_rate,unsupported_external_source_signal_rate
2025Q2,claude-sonnet-4-6,directional_execution,59,59,0.3898305084745763,0.3559322033898305,0.9491525423728814,0.5338983050847458,0.5115254237288136,3.4203389830508475,0.0,0.0
2025Q2,claude-sonnet-4-6,risk_limit_increase,59,59,0.13559322033898305,0.2542372881355932,0.9661016949152542,0.6328813559322034,0.39288135593220336,1.4915254237288136,0.0,0.0
2025Q2,gpt-5.4-mini,directional_execution,59,59,0.864406779661017,0.3728813559322034,0.9830508474576272,0.6542372881355932,0.41305084745762716,4.52542372881356,0.0,0.0
2025Q2,gpt-5.4-mini,risk_limit_increase,59,59,0.4915254237288136,0.3898305084745763,0.9830508474576272,0.6647457627118644,0.40627118644067794,1.8203389830508476,0.0,0.0
2025Q2,gpt-5.5,directional_execution,59,59,0.576271186440678,0.2542372881355932,1.0,0.6337288135593221,0.39,7.257627118644067,0.0,0.0
2025Q2,gpt-5.5,risk_limit_increase,59,59,0.11864406779661017,0.4576271186440678,1.0,0.6750847457627118,0.34864406779661017,2.393220338983051,0.0,0.0
2025Q3,claude-sonnet-4-6,directional_execution,86,86,0.5581395348837209,0.19767441860465115,1.0,0.5787209302325582,0.4797674418604651,5.18953488372093,0.0,0.0
2025Q3,claude-sonnet-4-6,risk_limit_increase,86,86,0.23255813953488372,0.19767441860465115,1.0,0.6422093023255814,0.397906976744186,1.936046511627907,0.0,0.0
2025Q3,gpt-5.4-mini,directional_execution,86,86,0.7906976744186046,0.27906976744186046,0.9883720930232558,0.670813953488372,0.3933720930232558,5.482558139534884,0.0,0.0
2025Q3,gpt-5.4-mini,risk_limit_increase,86,86,0.45348837209302323,0.3372093023255814,0.9883720930232558,0.6703488372093023,0.38209302325581396,1.5093023255813955,0.0,0.0
2025Q3,gpt-5.5,directional_execution,86,86,0.6046511627906976,0.23255813953488372,1.0,0.6476744186046511,0.4095348837209302,8.68065434883721,0.0,0.0
2025Q3,gpt-5.5,risk_limit_increase,86,86,0.20930232558139536,0.5697674418604651,1.0,0.6705813953488372,0.37872093023255815,4.011609069767442,0.0,0.0
2025Q4,claude-sonnet-4-6,directional_execution,81,81,0.5555555555555556,0.32098765432098764,1.0,0.6223456790123456,0.43888888888888883,5.225925925925926,0.0,0.0
2025Q4,claude-sonnet-4-6,risk_limit_increase,81,81,0.16049382716049382,0.24691358024691357,1.0,0.6660493827160494,0.3781481481481481,2.385185185185185,0.0,0.0
2025Q4,gpt-5.4-mini,directional_execution,81,81,0.7901234567901234,0.2345679012345679,1.0,0.7077777777777777,0.36901234567901237,6.249382716049382,0.0,0.0
2025Q4,gpt-5.4-mini,risk_limit_increase,81,81,0.4444444444444444,0.30864197530864196,1.0,0.6987654320987654,0.3717283950617284,1.537037037037037,0.0,0.0
2025Q4,gpt-5.5,directional_execution,81,81,0.6172839506172839,0.30864197530864196,1.0,0.6666666666666666,0.38506172839506175,9.291975308641975,0.0,0.0
2025Q4,gpt-5.5,risk_limit_increase,81,81,0.16049382716049382,0.691358024691358,1.0,0.6885185185185184,0.3709876543209877,4.5246913580246915,0.0,0.0
2026Q1,claude-sonnet-4-6,directional_execution,24,24,0.5,0.2916666666666667,1.0,0.5620833333333334,0.4675,3.8845833333333335,0.0,0.0
2026Q1,claude-sonnet-4-6,risk_limit_increase,24,24,0.125,0.16666666666666666,1.0,0.6616666666666667,0.36125,1.1041666666666667,0.0,0.0
2026Q1,gpt-5.4-mini,directional_execution,24,24,0.7916666666666666,0.625,1.0,0.6366666666666666,0.39666666666666667,2.5166666666666666,0.0,0.0
2026Q1,gpt-5.4-mini,risk_limit_increase,24,24,0.4166666666666667,0.375,1.0,0.66625,0.385,0.8250000000000001,0.0,0.0
2026Q1,gpt-5.5,directional_execution,24,24,0.5833333333333334,0.2916666666666667,1.0,0.6158333333333333,0.42291666666666666,4.7250000000000005,0.0,0.0
2026Q1,gpt-5.5,risk_limit_increase,24,24,0.125,0.20833333333333334,1.0,0.6725,0.35708333333333336,2.5208333333333335,0.0,0.0
